Number,Name,Type1,Type2,Pokedex,Label,Label_adjusted,Pokedex_adjusted
2,Ivysaur,Grass,Poison,"If the bud on its back starts to smell sweet, it is evidence that the large flower will soon bloom.",9,9,if the bud on its back starts to smell sweet it is evidence that the large flower will soon bloom
2,Ivysaur,Grass,Poison,The bulb on its back grows as it absorbs nutrients. The bulb gives off a pleasant aroma when it blooms.,9,9,the bulb on its back grows as it absorbs nutrients the bulb gives off a pleasant aroma when it blooms
2,Ivysaur,Grass,Poison,"There is a bud on this POKéMON’s back. To support its weight, IVYSAUR’s legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it’s a sign that the bud will bloom into a large flower soon.",9,9,there is a bud on this back to support its weight legs and trunk grow thick and strong if it starts spending more time lying in the sunlight it is a sign that the bud will bloom into a large flower soon
2,Ivysaur,Grass,Poison,"There is a plant bulb on its back. When it absorbs nutrients, the bulb is said to blossom into a large flower.",9,9,there is a plant bulb on its back when it absorbs nutrients the bulb is said to blossom into a large flower
2,Ivysaur,Grass,Poison,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.",9,9,when the bulb on its back grows large it appears to lose the ability to stand on its hind legs
2,Ivysaur,Grass,Poison,"To support its bulb, IVYSAUR’s legs grow sturdy. If it spends more time lying in the sunlight, the bud will soon bloom into a large flower.",9,9,to support its bulb legs grow sturdy if it spends more time lying in the sunlight the bud will soon bloom into a large flower
2,Ivysaur,Grass,Poison,"When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower’s coming bloom.",9,9,when the bud on its back starts swelling a sweet aroma wafts to indicate the flower coming bloom
2,Ivysaur,Grass,Poison,Exposure to sunlight adds to its strength. Sunlight also makes the bud on its back grow larger.,9,9,exposure to sunlight adds to its strength sunlight also makes the bud on its back grow larger
2,Ivysaur,Grass,Poison,"If the bud on its back starts to smell sweet, it is evidence that the large flower will soon bloom.",9,9,if the bud on its back starts to smell sweet it is evidence that the large flower will soon bloom
2,Ivysaur,Grass,Poison,"When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower’s coming bloom.",9,9,when the bud on its back starts swelling a sweet aroma wafts to indicate the flower coming bloom
2,Ivysaur,Grass,Poison,"There is a plant bulb on its back. When it absorbs nutrients, the bulb is said to blossom into a large flower.",9,9,there is a plant bulb on its back when it absorbs nutrients the bulb is said to blossom into a large flower
2,Ivysaur,Grass,Poison,"When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower’s coming bloom.",9,9,when the bud on its back starts swelling a sweet aroma wafts to indicate the flower coming bloom
2,Ivysaur,Grass,Poison,"There is a bud on this Pokémon’s back. To support its weight, Ivysaur’s legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it’s a sign that the bud will bloom into a large flower soon.",9,9,there is a bud on this back to support its weight legs and trunk grow thick and strong if it starts spending more time lying in the sunlight it is a sign that the bud will bloom into a large flower soon
2,Ivysaur,Grass,Poison,The bud on its back grows by drawing energy. It gives off an aroma when it is ready to bloom.,9,9,the bud on its back grows by drawing energy it gives off an aroma when it is ready to bloom
2,Ivysaur,Grass,Poison,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.",9,9,when the bulb on its back grows large it appears to lose the ability to stand on its hind legs
2,Ivysaur,Grass,Poison,Exposure to sunlight adds to its strength. Sunlight also makes the bud on its back grow larger.,9,9,exposure to sunlight adds to its strength sunlight also makes the bud on its back grow larger
2,Ivysaur,Grass,Poison,"When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower’s coming bloom.",9,9,when the bud on its back starts swelling a sweet aroma wafts to indicate the flower coming bloom
3,Venusaur,Grass,Poison,The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,9,9,the plant blooms when it is absorbing solar energy it stays on the move to seek sunlight
3,Venusaur,Grass,Poison,The flower on its back catches the sun’s rays. The sunlight is then absorbed and used for energy.,9,9,the flower on its back catches the sun rays the sunlight is then absorbed and used for energy
3,Venusaur,Grass,Poison,"By spreading the broad petals of its flower and catching the sun’s rays, it fills its body with power.",9,9,by spreading the broad petals of its flower and catching the sun rays it fills its body with power
3,Venusaur,Grass,Poison,"It is able to convert sunlight into energy. As a result, it is more powerful in the summertime.",9,9,it is able to convert sunlight into energy as a result it is more powerful in the summertime
3,Venusaur,Grass,Poison,"As it warms itself and absorbs the sunlight, its flower petals release a pleasant fragrance.",9,9,as it warms itself and absorbs the sunlight its flower petals release a pleasant fragrance
3,Venusaur,Grass,Poison,There is a large flower on VENUSAUR’s back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people.,9,9,there is a large flower on back the flower is said to take on vivid colors if it gets plenty of nutrition and sunlight the flower aroma soothes the emotions of people
3,Venusaur,Grass,Poison,A bewitching aroma wafts from its flower. The fragrance becalms those engaged in a battle.,9,9,a bewitching aroma wafts from its flower the fragrance becalms those engaged in a battle
3,Venusaur,Grass,Poison,Its plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,9,9,its plant blooms when it is absorbing solar energy it stays on the move to seek sunlight
3,Venusaur,Grass,Poison,VENUSAUR’s flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people.,9,9, flower is said to take on vivid colors if it gets plenty of nutrition and sunlight the flower aroma soothes the emotions of people
3,Venusaur,Grass,Poison,"After a rainy day, the flower on its back smells stronger. The scent attracts other Pokémon.",9,9,after a rainy day the flower on its back smells stronger the scent attracts other 
3,Venusaur,Grass,Poison,"By spreading the broad petals of its flower and catching the sun’s rays, it fills its body with power.",9,9,by spreading the broad petals of its flower and catching the sun rays it fills its body with power
3,Venusaur,Grass,Poison,"It is able to convert sunlight into energy. As a result, it is more powerful in the summertime.",9,9,it is able to convert sunlight into energy as a result it is more powerful in the summertime
3,Venusaur,Grass,Poison,"After a rainy day, the flower on its back smells stronger. The scent attracts other Pokémon.",9,9,after a rainy day the flower on its back smells stronger the scent attracts other 
3,Venusaur,Grass,Poison,"By spreading the broad petals of its flower and catching the sun’s rays, it fills its body with power.",9,9,by spreading the broad petals of its flower and catching the sun rays it fills its body with power
3,Venusaur,Grass,Poison,"After a rainy day, the flower on its back smells stronger. The scent attracts other Pokémon.",9,9,after a rainy day the flower on its back smells stronger the scent attracts other 
3,Venusaur,Grass,Poison,There is a large flower on Venusaur’s back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people.,9,9,there is a large flower on back the flower is said to take on vivid colors if it gets plenty of nutrition and sunlight the flower aroma soothes the emotions of people
3,Venusaur,Grass,Poison,The flower on its back catches the sun’s rays. The sunlight is then absorbed and used for energy.,9,9,the flower on its back catches the sun rays the sunlight is then absorbed and used for energy
3,Venusaur,Grass,Poison,Its plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,9,9,its plant blooms when it is absorbing solar energy it stays on the move to seek sunlight
3,Venusaur,Grass,Poison,A bewitching aroma wafts from its flower. The fragrance becalms those engaged in a battle.,9,9,a bewitching aroma wafts from its flower the fragrance becalms those engaged in a battle
3,Venusaur,Grass,Poison,"After a rainy day, the flower on its back smells stronger. The scent attracts other Pokémon.",9,9,after a rainy day the flower on its back smells stronger the scent attracts other 
3,Venusaur,Grass,Poison,"In order to support its flower, which has grown larger due to Mega Evolution, its back and legs have become stronger.",9,9,in order to support its flower which has grown larger due to mega evolution its back and legs have become stronger
4,Charmander,Fire,,"Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail.",6,6,obviously prefers hot places when it rains steam is said to spout from the tip of its tail
4,Charmander,Fire,,The flame at the tip of its tail makes a sound as it burns. You can only hear it in quiet places.,6,6,the flame at the tip of its tail makes a sound as it burns you can only hear it in quiet places
4,Charmander,Fire,,"The flame on its tail shows the strength of its life force. If it is weak, the flame also burns weakly.",6,6,the flame on its tail shows the strength of its life force if it is weak the flame also burns weakly
4,Charmander,Fire,,"The flame on its tail indicates CHARMANDER’s life force. If it is healthy, the flame burns brightly.",6,6,the flame on its tail indicates life force if it is healthy the flame burns brightly
4,Charmander,Fire,,"If it’s healthy, the flame on the tip of its tail will burn vigorously, even if it gets a bit wet.",6,6,if it is healthy the flame on the tip of its tail will burn vigorously even if it gets a bit wet
4,Charmander,Fire,,"The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when CHARMANDER is enjoying itself. If the POKéMON becomes enraged, the flame burns fiercely.",6,6,the flame that burns at the tip of its tail is an indication of its emotions the flame wavers when is enjoying itself if the becomes enraged the flame burns fiercely
4,Charmander,Fire,,"From the time it is born, a flame burns at the tip of its tail. Its life would end if the flame were to go out.",6,6,from the time it is born a flame burns at the tip of its tail its life would end if the flame were to go out
4,Charmander,Fire,,"It has a preference for hot things. When it rains, steam is said to spout from the tip of its tail.",6,6,it has a preference for hot things when it rains steam is said to spout from the tip of its tail
4,Charmander,Fire,,"The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when CHARMANDER is happy, and blazes when it is enraged.",6,6,the flame that burns at the tip of its tail is an indication of its emotions the flame wavers when is happy and blazes when it is enraged
4,Charmander,Fire,,"The fire on the tip of its tail is a measure of its life. If healthy, its tail burns intensely.",6,6,the fire on the tip of its tail is a measure of its life if healthy its tail burns intensely
4,Charmander,Fire,,"The flame on its tail shows the strength of its life force. If it is weak, the flame also burns weakly.",6,6,the flame on its tail shows the strength of its life force if it is weak the flame also burns weakly
4,Charmander,Fire,,"The flame on its tail indicates CHARMANDER’s life force. If it is healthy, the flame burns brightly.",6,6,the flame on its tail indicates life force if it is healthy the flame burns brightly
4,Charmander,Fire,,"The fire on the tip of its tail is a measure of its life. If healthy, its tail burns intensely.",6,6,the fire on the tip of its tail is a measure of its life if healthy its tail burns intensely
4,Charmander,Fire,,"The flame on its tail indicates Charmander’s life force. If it is healthy, the flame burns brightly.",6,6,the flame on its tail indicates life force if it is healthy the flame burns brightly
4,Charmander,Fire,,"From the time it is born, a flame burns at the tip of its tail. Its life would end if the flame were to go out.",6,6,from the time it is born a flame burns at the tip of its tail its life would end if the flame were to go out
4,Charmander,Fire,,"The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pokémon becomes enraged, the flame burns fiercely.",6,6,the flame that burns at the tip of its tail is an indication of its emotions the flame wavers when is enjoying itself if the becomes enraged the flame burns fiercely
4,Charmander,Fire,,The flame at the tip of its tail makes a sound as it burns. You can only hear it in quiet places.,6,6,the flame at the tip of its tail makes a sound as it burns you can only hear it in quiet places
4,Charmander,Fire,,"It has a preference for hot things. When it rains, steam is said to spout from the tip of its tail.",6,6,it has a preference for hot things when it rains steam is said to spout from the tip of its tail
4,Charmander,Fire,,"From the time it is born, a flame burns at the tip of its tail. Its life would end if the flame were to go out.",6,6,from the time it is born a flame burns at the tip of its tail its life would end if the flame were to go out
4,Charmander,Fire,,"The fire on the tip of its tail is a measure of its life. If the Pokémon is healthy, its tail burns intensely.",6,6,the fire on the tip of its tail is a measure of its life if the is healthy its tail burns intensely
5,Charmeleon,Fire,,"When it swings its burning tail, it elevates the temperature to unbearably high levels.",6,6,when it swings its burning tail it elevates the temperature to unbearably high levels
5,Charmeleon,Fire,,"Tough fights could excite this POKéMON. When excited, it may blow out bluish-white flames.",6,6,tough fights could excite this when excited it may blow out bluish white flames
5,Charmeleon,Fire,,"It is very hotheaded by nature, so it constantly seeks opponents. It calms down only when it wins.",6,6,it is very hotheaded by re so it constantly seeks opponents it calms down only when it wins
5,Charmeleon,Fire,,"It has a barbaric nature. In battle, it whips its fiery tail around and slashes away with sharp claws.",6,6,it has a barbaric re in battle it whips its fiery tail around and slashes away with sharp claws
5,Charmeleon,Fire,,"If it becomes agitated during battle, it spouts intense flames, incinerating its surroundings.",6,6,if it becomes agitated during battle it spouts intense flames incinerating its surroundings
5,Charmeleon,Fire,,"CHARMELEON mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color.",6,6, mercilessly destroys its foes using its sharp claws if it encounters a strong foe it turns aggressive in this excited state the flame at the tip of its tail flares with a bluish white color
5,Charmeleon,Fire,,It lashes about with its tail to knock down its foe. It then tears up the fallen opponent with sharp claws.,6,6,it lashes about with its tail to knock down its foe it then tears up the fallen opponent with sharp claws
5,Charmeleon,Fire,,"When it swings its burning tail, it elevates the air temperature to unbearably high levels.",6,6,when it swings its burning tail it elevates the air temperature to unbearably high levels
5,Charmeleon,Fire,,"Without pity, its sharp claws destroy foes. If it encounters a strong enemy, it becomes agitated, and the flame on its tail flares with a bluish white color.",6,6,without pity its sharp claws destroy foes if it encounters a strong enemy it becomes agitated and the flame on its tail flares with a bluish white color
5,Charmeleon,Fire,,"In the rocky mountains where CHARMELEON live, their fiery tails shine at night like stars.",6,6,in the rocky mountains where live their fiery tails shine at night like stars
5,Charmeleon,Fire,,"It is very hotheaded by nature, so it constantly seeks opponents. It calms down only when it wins.",6,6,it is very hotheaded by re so it constantly seeks opponents it calms down only when it wins
5,Charmeleon,Fire,,"It has a barbaric nature. In battle, it whips its fiery tail around and slashes away with sharp claws.",6,6,it has a barbaric re in battle it whips its fiery tail around and slashes away with sharp claws
5,Charmeleon,Fire,,"In the rocky mountains where Charmeleon live, their fiery tails shine at night like stars.",6,6,in the rocky mountains where live their fiery tails shine at night like stars
5,Charmeleon,Fire,,It lashes about with its tail to knock down its foe. It then tears up the fallen opponent with sharp claws.,6,6,it lashes about with its tail to knock down its foe it then tears up the fallen opponent with sharp claws
5,Charmeleon,Fire,,"When it swings its burning tail, it elevates the air temperature to unbearably high levels.",6,6,when it swings its burning tail it elevates the air temperature to unbearably high levels
5,Charmeleon,Fire,,"Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color.",6,6, mercilessly destroys its foes using its sharp claws if it encounters a strong foe it turns aggressive in this excited state the flame at the tip of its tail flares with a bluish white color
5,Charmeleon,Fire,,"Tough fights could excite this Pokémon. When excited, it may breathe out bluish-white flames.",6,6,tough fights could excite this when excited it may breathe out bluish white flames
5,Charmeleon,Fire,,"It has a barbaric nature. In battle, it whips its fiery tail around and slashes away with sharp claws.",6,6,it has a barbaric re in battle it whips its fiery tail around and slashes away with sharp claws
5,Charmeleon,Fire,,"If it becomes agitated during battle, it spouts intense flames, incinerating its surroundings.",6,6,if it becomes agitated during battle it spouts intense flames incinerating its surroundings
5,Charmeleon,Fire,,"In the rocky mountains where Charmeleon live, their fiery tails shine at night like stars.",6,6,in the rocky mountains where live their fiery tails shine at night like stars
6,Charizard,Fire,Flying,Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.,6,6,spits fire that is hot enough to melt boulders known to cause forest fires unintentionally
6,Charizard,Fire,Flying,"When expelling a blast of super hot fire, the red flame at the tip of its tail burns more intensely.",6,6,when expelling a blast of super hot fire the red flame at the tip of its tail burns more intensely
6,Charizard,Fire,Flying,"If CHARIZARD becomes furious, the flame at the tip of its tail flares up in a whitish-blue color.",6,6,if becomes furious the flame at the tip of its tail flares up in a whitish blue color
6,Charizard,Fire,Flying,"Breathing intense, hot flames, it can melt almost anything. Its breath inflicts terrible pain on enemies.",6,6,breathing intense hot flames it can melt almost anything its breath inflicts terrible pain on enemies
6,Charizard,Fire,Flying,It uses its wings to fly high. The temperature of its fire increases as it gains experience in battle.,6,6,it uses its wings to fly high the temperature of its fire increases as it gains experience in battle
6,Charizard,Fire,Flying,"CHARIZARD flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself.",6,6, flies around the sky in search of powerful opponents it breathes fire of such great heat that it melts anything however it never turns its fiery breath on any opponent weaker than itself
6,Charizard,Fire,Flying,"Its wings can carry this POKéMON close to an altitude of 4,600 feet. It blows out fire at very high temperatures.",6,6,its wings can carry this close to an altitude of feet it blows out fire at very high temperatures
6,Charizard,Fire,Flying,It spits fire that is hot enough to melt boulders. It may cause forest fires by blowing flames.,6,6,it spits fire that is hot enough to melt boulders it may cause forest fires by blowing flames
6,Charizard,Fire,Flying,"A CHARIZARD flies about in search of strong opponents. It breathes intense flames that can melt any material. However, it will never torch a weaker foe.",6,6,a flies about in search of strong opponents it breathes intense flames that can melt any material however it will never torch a weaker foe
6,Charizard,Fire,Flying,It is said that CHARIZARD’s fire burns hotter if it has experienced harsh battles.,6,6,it is said that fire burns hotter if it has experienced harsh battles
6,Charizard,Fire,Flying,"If CHARIZARD becomes furious, the flame at the tip of its tail flares up in a light blue shade.",6,6,if becomes furious the flame at the tip of its tail flares up in a light blue shade
6,Charizard,Fire,Flying,"Breathing intense, hot flames, it can melt almost anything. Its breath inflicts terrible pain on enemies.",6,6,breathing intense hot flames it can melt almost anything its breath inflicts terrible pain on enemies
6,Charizard,Fire,Flying,It is said that Charizard’s fire burns hotter if it has experienced harsh battles.,6,6,it is said that fire burns hotter if it has experienced harsh battles
6,Charizard,Fire,Flying,"When expelling a blast of superhot fire, the red flame at the tip of its tail burns more intensely.",6,6,when expelling a blast of superhot fire the red flame at the tip of its tail burns more intensely
6,Charizard,Fire,Flying,"Its wings can carry this Pokémon close to an altitude of 4,600 feet. It blows out fire at very high temperatures.",6,6,its wings can carry this close to an altitude of feet it blows out fire at very high temperatures
6,Charizard,Fire,Flying,"Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself.",6,6, flies around the sky in search of powerful opponents it breathes fire of such great heat that it melts anything however it never turns its fiery breath on any opponent weaker than itself
6,Charizard,Fire,Flying,"When this Pokémon expels a blast of superhot fire, the red flame at the tip of its tails burns more intensely.",6,6,when this expels a blast of superhot fire the red flame at the tip of its tails burns more intensely
6,Charizard,Fire,Flying,It spits fire that is hot enough to melt boulders. It may cause forest fires by blowing flames.,6,6,it spits fire that is hot enough to melt boulders it may cause forest fires by blowing flames
6,Charizard,Fire,Flying,"Its wings can carry this Pokémon close to an altitude of 4,600 feet. It blows out fire at very high temperatures.",6,6,its wings can carry this close to an altitude of feet it blows out fire at very high temperatures
6,Charizard,Fire,Flying,It is said that Charizard’s fire burns hotter if it has experienced harsh battles.,6,6,it is said that fire burns hotter if it has experienced harsh battles
6,Charizard,Fire,Flying,"This colossal, flame-winged figure of a Charizard was brought about by Gigantamax energy.",6,6,this colossal flame winged figure of a was brought about by gigantamax energy
6,Charizard,Fire,Flying,"The flame inside its body burns hotter than 3,600 degrees Fahrenheit. When Charizard roars, that temperature climbs even higher.",6,6,the flame inside its body burns hotter than degrees fahrenheit when roars that temperature climbs even higher
6,Charizard,Fire,Flying,The overwhelming power that fills its entire body causes it to turn black and create intense blue flames.,6,6,the overwhelming power that fills its entire body causes it to turn black and create intense blue flames
6,Charizard,Fire,Flying,Its bond with its Trainer is the source of its power. It boasts speed and maneuverability greater than that of a jet fighter.,6,6,its bond with its trainer is the source of its power it boasts speed and maneuverability greater than that of a jet fighter
7,Squirtle,Water,,"After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth.",17,17,after birth its back swells and hardens into a shell powerfully sprays foam from its mouth
7,Squirtle,Water,,Shoots water at prey while in the water. Withdraws into its shell when in danger.,17,17,shoots water at prey while in the water withdraws into its shell when in danger
7,Squirtle,Water,,"The shell is soft when it is born. It soon becomes so resilient, prodding fingers will bounce off it.",17,17,the shell is soft when it is born it soon becomes so resilient prodding fingers will bounce off it
7,Squirtle,Water,,"The shell, which hardens soon after it is born, is resilient. If you poke it, it will bounce back out.",17,17,the shell which hardens soon after it is born is resilient if you poke it it will bounce back out
7,Squirtle,Water,,"When it feels threatened, it draws its legs inside its shell and sprays water from its mouth.",17,17,when it feels threatened it draws its legs inside its shell and sprays water from its mouth
7,Squirtle,Water,,"SQUIRTLE’s shell is not merely used for protection. The shell’s rounded shape and the grooves on its surface help minimize resistance in water, enabling this POKéMON to swim at high speeds.",17,17, shell is not merely used for protection the shell rounded shape and the grooves on its surface help minimize resistance in water enabling this to swim at high speeds
7,Squirtle,Water,,"When it retracts its long neck into its shell, it squirts out water with vigorous force.",17,17,when it retracts its long neck into its shell it squirts out water with vigorous force
7,Squirtle,Water,,"After birth, its back swells and hardens into a shell. It powerfully sprays foam from its mouth.",17,17,after birth its back swells and hardens into a shell it powerfully sprays foam from its mouth
7,Squirtle,Water,,"Its shell is not just for protection. Its rounded shape and the grooves on its surface minimize resistance in water, enabling SQUIRTLE to swim at high speeds.",17,17,its shell is not just for protection its rounded shape and the grooves on its surface minimize resistance in water enabling to swim at high speeds
7,Squirtle,Water,,"It shelters itself in its shell, then strikes back with spouts of water at every opportunity.",17,17,it shelters itself in its shell then strikes back with spouts of water at every opportunity
7,Squirtle,Water,,"The shell is soft when it is born. It soon becomes so resilient, prodding fingers will bounce off it.",17,17,the shell is soft when it is born it soon becomes so resilient prodding fingers will bounce off it
7,Squirtle,Water,,"The shell, which hardens soon after it is born, is resilient. If you poke it, it will bounce back out.",17,17,the shell which hardens soon after it is born is resilient if you poke it it will bounce back out
7,Squirtle,Water,,"It shelters itself in its shell, then strikes back with spouts of water at every opportunity.",17,17,it shelters itself in its shell then strikes back with spouts of water at every opportunity
7,Squirtle,Water,,It shelters itself in its shell then strikes back with spouts of water at every opportunity.,17,17,it shelters itself in its shell then strikes back with spouts of water at every opportunity
7,Squirtle,Water,,"It shelters itself in its shell, then strikes back with spouts of water at every opportunity.",17,17,it shelters itself in its shell then strikes back with spouts of water at every opportunity
7,Squirtle,Water,,Shoots water at prey while in the water. Withdraws into its shell when in danger.,17,17,shoots water at prey while in the water withdraws into its shell when in danger
7,Squirtle,Water,,"Squirtle’s shell is not merely used for protection. The shell’s rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pokémon to swim at high speeds.",17,17, shell is not merely used for protection the shell rounded shape and the grooves on its surface help minimize resistance in water enabling this to swim at high speeds
7,Squirtle,Water,,Shoots water at prey while in the water. Withdraws into its shell when in danger.,17,17,shoots water at prey while in the water withdraws into its shell when in danger
7,Squirtle,Water,,"When it retracts its long neck into its shell, it squirts out water with vigorous force.",17,17,when it retracts its long neck into its shell it squirts out water with vigorous force
7,Squirtle,Water,,"When it feels threatened, it draws its limbs inside its shell and sprays water from its mouth.",17,17,when it feels threatened it draws its limbs inside its shell and sprays water from its mouth
7,Squirtle,Water,,"It hides in its shell to protect itself, then strikes back with spouts of water at every opportunity.",17,17,it hides in its shell to protect itself then strikes back with spouts of water at every opportunity
8,Wartortle,Water,,"Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance.",17,17,often hides in water to stalk unwary prey for swimming fast it moves its ears to maintain balance
8,Wartortle,Water,,"When tapped, this POKéMON will pull in its head, but its tail will still stick out a little bit.",17,17,when tapped this will pull in its head but its tail will still stick out a little bit
8,Wartortle,Water,,"It is recognized as a symbol of longevity. If its shell has algae on it, that WARTORTLE is very old.",17,17,it is recognized as a symbol of longevity if its shell has algae on it that is very old
8,Wartortle,Water,,It cleverly controls its furry ears and tail to maintain its balance while swimming.,17,17,it cleverly controls its furry ears and tail to maintain its balance while swimming
8,Wartortle,Water,,"Its long, furry tail is a symbol of longevity, making it quite popular among older people.",17,17,its long furry tail is a symbol of longevity making it quite popular among older people
8,Wartortle,Water,,"Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as WARTORTLE ages. The scratches on its shell are evidence of this POKéMON’s toughness as a battler.",17,17,its tail is large and covered with a rich thick fur the tail becomes increasingly deeper in color as ages the scratches on its shell are evidence of this toughness as a battler
8,Wartortle,Water,,This POKéMON is very popular as a pet. Its fur-covered tail is a symbol of its longevity.,17,17,this is very popular as a pet its fur covered tail is a symbol of its longevity
8,Wartortle,Water,,"It often hides in water to stalk unwary prey. For fast swimming, it moves its ears to maintain balance.",17,17,it often hides in water to stalk unwary prey for fast swimming it moves its ears to maintain balance
