Number,Name,Type1,Type2,Pokedex,Label,Label_adjusted
126,Magmar,Fire,,its body always burns with an orange glow that enables it to hide perfectly among flames born in an active volcano its body is always cloaked in flames so it looks like a big ball of fire it dislikes cold places so it blows scorching flames to make the environment suitable for itself the fiery surface of its body gives off a wavering rippling glare that is similar to the sun it moves more frequently in hot areas it can heal itself by dipping its wound into lava in battle blows out intensely hot flames from all over its body to intimidate its opponent this fiery bursts create heat waves that ignite grass and trees in its surroundings found near the mouth of a volcano this fire breather body temperature is nearly degrees fahrenheit its body always burns with an orange glow that enables it to hide perfectly amidst flames in battle it blows out intense flames from all over its body to intimidate its foe these fiery bursts create heat waves that ignite grass and trees in the area born in the spout of a volcano its body is covered by flames that shimmer like the sun when it breathes deeply heat waves form around its body making it hard to see clearly it dislikes cold places so it blows scorching flames to make the environment suitable for itself the fiery surface of its body gives off a wavering rippling glare that is similar to the sun when it breathes deeply heat waves form around its body making it hard to see clearly the scorching fire exhaled by forms heat waves around its body making it hard to see the clearly found near the mouth of a volcano this fire breather body temperature is nearly degrees fahrenheit born in the spout of a volcano its body is covered by flames that shimmer like the sun in battle blows out intensely hot flames from all over its body to intimidate its opponent this fiery bursts create heat waves that ignite grass and trees in its surroundings when it is tired it leaps into the mouth of a volcano and soaks its body in magma to ease its weariness its body burns at degrees f when angered it spouts brilliant fire from all over its body it doesn t calm down until its opponent has burned to ash its entire body is burning when it breathes the temperature rises when it sneezes flames shoot out the hotter the place the better they feel in alola are said to be hardier than those in other areas born in an active volcano its body is always cloaked in flames so it looks like a big ball of fire dispatches its prey with fire but it regrets this habit once it realizes that it has burned its intended prey to a charred crisp these bodies are constantly burning are feared as one of the causes behind fires it was born in the crater of a volcano its body is covered with flames that shimmer like the sun legend has it that this was born from the crater of a volcano when wounded it bathes in lava to heal its body much as one would soak in a hot spring,6,6
127,Pinsir,Bug,,if it fails to crush the victim in its pincers it will swing it around and toss it hard grips its prey in its pincers and squeezes hard it can t move if it is cold so it lives in warm places with its horns it digs burrows to sleep in at night in the morning damp soil clings to its body swings its long antlers wildly to attack during cold periods it hides deep in forests when the temperature drops at night it sleeps on treetops or among roots where it is well hidden is astoundingly strong it can grip a foe weighing twice its weight in its horns and easily lift it this movements turn sluggish in cold places has a pair of massive horns protruding from the surface of these horns are thorns these thorns are driven deeply into the foe body when the pincer closes making it tough for the foe to escape its two long pincer horns are powerful once they grip an enemy they won t release until the foe is torn if it fails to crush the foe in its pincers it will swing around and toss the opponent their pincers are strong enough to shatter thick logs because they dislike cold burrow and sleep under the ground on chilly nights it grips prey with its pincers until the prey is torn in half what it can t tear it tosses far with its pincer horns it digs burrows to sleep in at night in the morning damp soil clings to its body it swings its long pincer horns wildly to attack during cold periods it hides deep in forests it grips prey with its pincers until the prey is torn in half what it can t tear it tosses far it grips prey with its powerful pincers and will not let go until the prey is torn in half it grips prey with its pincers until the prey is torn in half what it can t tear it tosses far it swings its long pincer horns wildly to attack during cold periods it hides deep in forests is astoundingly strong it can grip a foe weighing twice its weight in its horns and easily lift it this movements turn sluggish in cold places has a pair of massive horns protruding from the surface of these horns are thorns these thorns are driven deeply into the foe body when the pincer closes making it tough for the foe to escape it grips its prey in its pincers and splits them apart although it is a powerful it can t deal with the cold one solid blow from its horns is enough to split apart a large tree its greatest rival in alola is it gets into territorial disputes with for some reason it apparently gets along well with in alola although it is tough it can t handle cold well when night falls it buries itself in leafage and sleeps grips its prey in its pincers and squeezes hard it can t move if it is cold so it lives in warm places these judge one another based on pincers thicker more impressive pincers make for more popularity with the opposite gender this clamps its pincers down on its prey and then either splits the prey in half or flings it away it grips prey with its pincers until the prey is torn apart what it can t tear it tosses far away the influence of mega evolution leaves it in a state of constant excitement it pierces enemies with its two large horns before shredding them bathed in the energy of mega evolution its wings become unusually developed it flies at speeds of approximately mph after mega evolution it becomes able to fly perhaps because it is so happy it rarely touches the ground it zips around at blistering speeds looking for an opening to skewer its opponent on its giant pincers with its vaunted horns it can lift an opponent times heavier than itself and fly about with ease,0,0
128,Tauros,Normal,,when it targets an enemy it charges furiously while whipping its body with its long tails a rowdy with a lot of stamina once running it won t stop until it hits something they fight each other by locking horns the herd protector takes pride in its battle scarred horns after heightening its will to fight by whipping itself with its three tails it charges at full speed these violent fight with other members of their herd in order to prove their strength this is not satisfied unless it is rampaging at all times if there is no opponent for to battle it will charge at thick trees and knock them down to calm itself when it is about to tackle it whips its body repeatedly with its three long tails when it targets an enemy it charges furiously while whipping its body with its long tails it is not satisfied unless it is rampaging at all times if there is no opponent for to battle it will charge at thick trees and knock them down to calm itself once it takes aim at its foe it makes a headlong charge it is famous for its violent re they fight each other by locking horns the herd protector takes pride in its battle scarred horns after heightening its will to fight by whipping itself with its three tails it charges at full speed once it takes aim at its foe it makes a headlong charge it is famous for its violent re after heightening its will to fight by whipping itself with its three tails it charges at full speed when it is about to tackle it whips its body repeatedly with its three long tails this is not satisfied unless it is rampaging at all times if there is no opponent for to battle it will charge at thick trees and knock them down to calm itself historically people in areas all over the world have ridden but the practice is said to have started in alola although it is known to be a fierce in the alola region are said to possess a measure of calmness they live in groups the one with the longest thickest and most scarred horns is the boss of the herd the climate seems to be related to the reason in alola are a little calmer than those in other regions a rowdy with a lot of stamina once running it won t stop until it hits something when begins whipping itself with its tails it is a warning that the is about to charge with astounding speed the of the galar region are volatile in re and they won t allow people to ride on their backs once it takes aim at its prey it makes a headlong charge it is famous for its violent re,12,12
129,Magikarp,Water,,in the distant past it was sohat stronger than the horribly weak descendants that exist today famous for being very unreliable it can be found swimming in seas lakes rivers and shallow puddles an underpowered pathetic it may jump high on rare occasions but never more than seven feet for no reason it jumps and splashes about making it easy for predators like to catch it mid jump this weak and pathetic gets easily pushed along rivers when there are strong currents is a pathetic excuse for a that is only capable of flopping and splashing this behavior prompted scientists to undertake research into it is virtually useless in battle as it can only splash around as a result it is considered to be weak however it is actually a very hardy that can survive in any body of water no matter how polluted it is it is virtually worthless in terms of both power and speed it is the most weak and pathetic in the world in the distant past it was sohat stronger than the horribly weak descendants that exist today its swimming muscles are weak so it is easily washed away by currents in places where water pools you can see many deposited there by the flow it is said to be the world weakest no one knows why it has managed to survive it is unable to swim against even slow moving currents it always splashes about for some reason a living for many years can leap a mountain using splash the move remains useless though an underpowered pathetic it may jump high on rare occasions but usually not more than seven feet for no reason it jumps and splashes about making it easy for predators like to catch it mid jump a living for many years can leap a mountain using splash the move remains useless though it is virtually worthless in terms of both power and speed it is the most weak and pathetic in the world in the distant past it was sohat stronger than the horribly weak descendants that exist today is a pathetic excuse for a that is only capable of flopping and splashing this behavior prompted scientists to undertake research into it is virtually useless in battle as it can only splash around as a result it is considered to be weak however it is actually a very hardy that can survive in any body of water no matter how polluted it is although weak and helpless this is incredibly fertile they exist in such multitudes you ll soon grow tired of seeing them its reckless leaps make it easy pickings for predators on the bright side many enjoy longer life spans thanks to in the distant past they were fairly strong but they have become gradually weaker over time thanks to their strong hold on life dirty water doesn t bother them at all they live in waters all over the world famous for being very unreliable it can be found swimming in seas lakes rivers and shallow puddles it is virtually worthless in terms of both power and speed it is the most weak and pathetic in the world this weak and pathetic gets easily pushed along rivers when there are strong currents it is said to be the world weakest no one knows why it has managed to survive it is unable to swim against even slow moving currents it always splashes about for some reason a feeble pitiful imbecile of a that is nonetheless very hardy unperturbed by turbid water it can be found living in all sorts of places,17,17
130,Gyarados,Water,Flying,rarely seen in the wild huge and vicious it is capable of destroying entire cities in a rage brutally vicious and enormously destructive known for totally destroying cities in ancient times they say that during past wars would appear and leave blazing ruins in its wake once it appears it goes on a rampage it remains enraged until it demolishes everything around it it appears whenever there is world conflict burning down any place it travels through when evolves into its brain cells undergo a structural transformation it is said that this transformation is to blame for this wildly violent re once goes on a rampage its ferociously violent blood doesn t calm until it has burned everything down there are records of this rampages lasting a whole month it has an extremely aggressive re the hyper beam it shoots from its mouth totally incinerates all targets rarely seen in the wild huge and vicious it is capable of destroying entire cities in a rage it is an extremely vicious and violent when humans begin to fight it will appear and burn everything to the ground with intensely hot flames once it appears its rage never settles until it has razed the fields and mountains around it in ancient literature there is a record of a that razed a village when violence flared once it begins to rampage a will burn everything down even in a harsh storm they say that during past strife would appear and leave blazing ruins in its wake once it appears it goes on a rampage it remains enraged until it demolishes everything around it once it begins to rampage a will burn everything down even in a harsh storm in ancient literature there is a record of a that razed a village when violence flared rarely seen in the wild huge and vicious it is capable of destroying entire cities in a rage when evolves into its brain cells undergo a structural transformation it is said that this transformation is to blame for this wildly violent re once goes on a rampage its ferociously violent blood doesn t calm until it has burned everything down there are records of this rampages lasting a whole month a tale is told of a town that angered before the sun rose the next day flames utterly consumed the town leaving not a trace behind there are people who swear that any place appears is fated for destruction it fires hyper beams in all directions burning the surrounding area to ash there are some regions where it is called the deity of destruction the energy from evolution stimulated its brain cells strongly causing it to become very ferocious brutally vicious and enormously destructive known for totally destroying cities in ancient times it has an extremely aggressive re the hyper beam it shoots from its mouth totally incinerates all targets once it begins to rampage a will burn everything down even in a harsh storm once appears its rage never settles until the has razed the fields and mountains around it in ancient literature there is a record of a that razed a village when violence flared i suspect this to be the true identity of a dragon written of in ancient texts which claimed that it razed an entire village with white hot beams from its maw mega evolution also affects its brain leaving no other function except its destructive instinct to burn everything to cinders it jets water from the orifices on its sides streaking above the water surface at supersonic speed mega evolution places a burden on its body the stress causes it to become all the more ferocious it zooms out of the water at mach speeds even large ships caught in its path are split cleanly in two although it obeys its instinctive drive to destroy everything within its reach it will respond to orders from a trainer it truly trusts,17,17
131,Lapras,Water,Ice,a that has been overhunted almost to extinction it can ferry people across the water a gentle soul that can read the minds of people it can ferry people across the sea on its back they have gentle hearts because they rarely fight many have been caught their number has dwindled it ferries people across the sea on its back it may sing an enchanting cry if it is in a good mood this gentle loves to give people rides and provides a very comfortable way to get around people have driven almost to the point of extinction in the evenings this is said to sing plaintively as it seeks what few others of its kind still remain its high intelligence enables it to understand human speech it likes to ferry people on its back a that has been overhunted almost to extinction it can ferry people on its back people have driven almost to the point of extinction in the evenings it is said to sing plaintively as it seeks what few others of its kind still remain it loves crossing the sea with people and on its back it understands human speech they have gentle hearts because they rarely fight many have been caught their number has dwindled it ferries people across the sea on its back it may sing an enchanting cry if it is in a good mood it loves crossing the sea with people and on its back it understands human speech able to understand human speech and very intelligent it loves to swim in the sea with people on its back they have gentle hearts because they rarely fight many have been caught their number has dwindled its high intelligence enables it to understand human speech it likes to ferry people on its back people have driven almost to the point of extinction in the evenings this is said to sing plaintively as it seeks what few others of its kind still remain its high intelligence enables it to comprehend human speech when it is in a good mood it sings in its beautiful voice these were once near extinction due to poaching following protective regulations there is now an overabundance of them it likes swimming around with people on its back in the alola region it is an important means of transportation over water they ve been so cherished that there now an overabundance the fish population has declined in waters with too many a gentle soul that can understand human speech it can ferry people across the sea on its back a smart and kindhearted it glides across the surface of the sea while its beautiful song echoes around it crossing icy seas is no issue for this cold resistant its smooth skin is a little cool to the touch it loves crossing the sea with people and on its back it understands human speech over people can ride on its shell at once and it is a very comfortable ride without the slightest shaking or swaying it surrounds itself with a huge ring of gathered ice particles it uses the ring to smash any icebergs that might impede its graceful swimming,17,17
132,Ditto,Normal,,capable of copying an enemy genetic code to instantly transform itself into a duplicate of the enemy when it spots an enemy its body transfigures into an almost perfect copy of its opponent it can transform into anything when it sleeps it changes into a stone to avoid being attacked its transformation ability is perfect however if made to laugh it can t maintain its disguise when it encounters another it will move faster than normal to duplicate that opponent exactly rearranges its cell structure to transform itself into other shapes however if it tries to transform itself into something by relying on its memory this manages to get details wrong it can freely recombine its own cellular structure to transform into other life forms capable of copying an opponent genetic code to instantly transform itself into a duplicate of the enemy a rearranges its cell structure to transform itself however if it tries to change based on its memory it will get details wrong it has the ability to reconstitute its entire cellular structure to transform into whatever it sees it can transform into anything when it sleeps it changes into a stone to avoid being attacked its transformation ability is perfect however if made to laugh it can t maintain its disguise it has the ability to reconstitute its entire cellular structure to transform into whatever it sees it can reconstitute its entire cellular structure to change into what it sees but it returns to normal when it relaxes it has the ability to reconstitute its entire cellular structure to transform into whatever it sees it can freely recombine its own cellular structure to transform into other life forms rearranges its cell structure to transform itself into other shapes however if it tries to transform itself into something by relying on its memory this manages to get details wrong it can reorganize its cells to make itself into a duplicate of anything it sees the quality of the duplicate depends on the individual with its astonishing capacity for metamorphosis it can get along with anything it does not get along well with its fellow while it can transform into anything each apparently has its own strengths and weaknesses when it comes to transformations it transforms into whatever it sees if the thing it is transforming into isn t right in front of it relies on its memoryso sometimes it fails when it spots an enemy its body transfigures into an almost perfect copy of its opponent it can reconstitute its entire cellular structure to change into what it sees but it returns to normal when it relaxes when it encounters another it will move faster than normal to duplicate that opponent exactly it has the ability to reconstitute its entire cellular structure to transform into whatever it sees,12,12
133,Eevee,Normal,,its genetic code is irregular it may mutate if it is exposed to radiation from element stones its genetic code is unstable so it could evolve in a variety of ways there are only a few alive it has the ability to alter the composition of its body to suit its surrounding environment its irregularly configured dna is affected by its surroundings it evolves if its environment changes its ability to evolve into many forms allows it to adapt smoothly and perfectly to any environment has an unstable genetic makeup that suddenly mutates due to the environment in which it lives radiation from various stones causes this to evolve an extremely rare that may evolve in a number of different ways depending on stimuli its genetic code is irregular it may mutate if it is exposed to radiation from element stones an has an unstable genetic makeup that suddenly mutates due to its environment radiation from various stones causes this to evolve a rare that adapts to harsh environments by taking on different evolutionary forms because its genetic makeup is irregular it quickly changes its form due to a variety of causes it has the ability to alter the composition of its body to suit its surrounding environment its irregularly configured dna is affected by its surroundings it evolves if its environment changes because its genetic makeup is irregular it quickly changes its form due to a variety of causes thanks to its unstable genetic makeup this special conceals many different possible evolutions a rare that adapts to harsh environments by taking on different evolutionary forms thanks to its unstable genetic makeup this special conceals many different possible evolutions has an unstable genetic makeup that suddenly mutates due to the environment in which it lives radiation from various stones causes this to evolve possessing an unbalanced and unstable genetic makeup it conceals many possible evolutions current studies show it can evolve into an incredible eight different species of the question of why only has such unstable genes has still not been solved its genes are easily influenced by its surroundings even its face starts to look like that of its trainer it can evolve into a variety of forms genes are the key to solving the mysteries of evolution it has the ability to alter the composition of its body to suit its surrounding environment thanks to its unstable genetic makeup this special conceals many different possible evolutions it is a rare that adapts to harsh environments by changing its appearance and capabilities when it evolves harbors the potential to evolve into manifold forms within lies the key to the mysteries of evolutioni m certain of it gigantamax energy upped the fluffiness of the fur around neck the fur will envelop a foe capturing its body and captivating its mind having gotten even friendlier and more innocent tries to play with anyone around only to end up crushing them with its immense body,12,12
134,Vaporeon,Water,Normal,lives close to water its long tail is ridged with a fin which is often mistaken for a mermaid s its cell structure is similar to water molecules it will melt away and become invisible in water when fins begin to vibrate it is a sign that rain will come within a few hours it prefers beautiful shores with cells similar to water molecules it could melt in water as it uses the fins on the tip of its tail to swim it blends with the water perfectly underwent a spontaneous mutation and grew fins and gills that allow it to live underwater this has the ability to freely control water its body cellular structure is similar to the molecular composition of water it can melt invisibly in water lives close to water its long tail is ridged with a fin which is often mistaken for a mermaid s underwent a spontaneous mutation and grew fins and gills that allow them to live underwater they have the ability to freely control water it has evolved to be suitable for an aquatic life it can invisibly melt away into water its cell composition is similar to water molecules as a result it can melt away into water when fins begin to vibrate it is a sign that rain will come within a few hours it prefers beautiful shores with cells similar to water molecules it could melt in water its cell composition is similar to water molecules as a result it can melt away into water its cell composition is similar to water molecules as a result it can t be seen when it melts away into water it prefers beautiful shores with cells similar to water molecules it could melt in water it has evolved to be suitable for an aquatic life it can invisibly melt away into water underwent a spontaneous mutation and grew fins and gills that allow it to live underwater this has the ability to freely control water its cells are composed of units much like water molecules it lives close to water and is often mistaken for a mermaid blending in with the water and erasing all signs of its presence it patiently waits for its prey fish clean clear waters are its usual habitat when it is about to be attacked by an invading enemy it dives into the water to hide it detects nearby moisture with its fin when its fin begins trembling rapidly that means rain will fall in a few hours its cell structure is similar to water molecules it melts into the water and becomes invisible when fins begin to vibrate it is a sign that rain will come within a few hours its body cellular structure is similar to the molecular composition of water it can melt invisibly in water it has evolved to be suited for an aquatic life it can become invisible when it melts away into water tests show that its cells closely resemble water molecules which perhaps explains its ability to conceal its form while submerged i believe the origins of mermaid folklore lie with this ,17,17
135,Jolteon,Electric,Normal,it accumulates negative ions in the atmosphere to blast out volt lightning bolts a sensitive that easily becomes sad or angry every time its mood changes it charges power it concentrates the weak electric charges emitted by its cells and launches wicked lightning bolts every hair on its body starts to stand sharply on end if it becomes charged with electricity the negatively charged ions generated in its fur create a constant sparking noise cells generate a low level of electricity this power is amplified by the static electricity of its fur enabling the to drop thunderbolts the bristling fur is made of electrically charged needles if it is angered or startled the fur all over its body bristles like sharp needles that pierce foes it accumulates negative ions in the atmosphere to blast out volt lightning bolts its cells generate weak power that is amplified by its fur static electricity to drop thunderbolts the bristling fur is made of electrically charged needles it controls volt power and can raise all the fur on its body as if it were sharp needles if agitated it uses electricity to straighten out its fur and launch it in small bunches it concentrates the weak electric charges emitted by its cells and launches wicked lightning bolts every hair on its body starts to stand sharply on end if it becomes charged with electricity if agitated it uses electricity to straighten out its fur and launch it in small bunches by storing electricity in its body it can shoot its bristlelike fur like a barrage of missiles every hair on its body starts to stand sharply on end if it becomes charged with electricity it accumulates negative ions in the atmosphere to blast out volt lightning bolts cells generate a low level of electricity this power is amplified by the static electricity of its fur enabling the to drop thunderbolts the bristling fur is made of electrically charged needles they send out electrical charges of about volts because they are high strung it can be difficult to grow close to them when its fur stands on end that a sign it is about to give off a jolt of electricity take care as sometimes lightning strikes next to it too its lungs contain an organ that creates electricity the crackling sound of electricity can be heard when it exhales its fur stands on end becoming like needles it fires at enemies once they re weakened it finishes them off with a volt shock a sensitive that easily becomes sad or angry every time its mood changes it charges power if it is angered or startled the fur all over its body bristles like sharp needles that pierce foes it accumulates negative ions in the atmosphere to blast out volt lightning bolts it controls volt power when the fur covering its body stands on end the fur is hard and sharp like needles bristles its fur into sharp needlelike points when enraged one can hear electricity crackle in its breath when it exhales,3,3
136,Flareon,Fire,Normal,when storing thermal energy in its body its temperature could soar to over degrees it has a flame chamber inside its body it inhales then blows out fire that is over f degrees it stores some of the air it inhales in its internal flame pouch which heats it to over degrees it fluffs out its fur collar to cool down its body temperature which can reach degrees once it has stored up enough heat this body temperature can reach up to degrees fluffy fur has a functional purpose it releases heat into the air so that its body does not get excessively hot this body temperature can rise to a maximum of degrees f it has a flame bag inside its body after inhaling deeply it blows out flames of nearly degrees fahrenheit when storing thermal energy in its body its temperature can soar to over degrees fahrenheit fluffy fur releases heat into the air so that its body does not get excessively hot its body temperature can rise to a maximum of degrees f it has a flame sac in its body its body temperature tops degrees fahrenheit before battle inhaled air is heated in the flame sac in its body to an intense fire over degrees fahrenheit it stores some of the air it inhales in its internal flame pouch which heats it to over degrees fahrenheit it fluffs out its fur collar to cool down its body temperature which can reach degrees fahrenheit inhaled air is heated in the flame sac in its body to an intense fire over degrees fahrenheit inhaled air is carried to its flame sac heated and exhaled as fire that reaches over degrees f it has a flame sac in its body its body temperature tops degrees fahrenheit before battle it has a flame bag inside its body after inhaling deeply it blows out flames of nearly degrees fahrenheit fluffy fur has a functional purposeit releases heat into the air so that its body does not get excessively hot this body temperature can rise to a maximum of degrees fahrenheit when it catches prey or finds berries it breathes fire on them until they re well done and then it gobbles them up its average body temperature is between and degrees fahrenheit in its internal flame sac temperatures reach degrees if it inhales deeply that a sign it is about to attack prepare to be hit by flames of over degrees fahrenheit the flame chamber inside its body ignites when gets agitated reaching temperatures of up to degrees fahrenheit it has a flame chamber inside its body it inhales then breathes out fire that is over degrees fahrenheit once it has stored up enough heat this body temperature can reach up to degrees fahrenheit it stores some of the air it inhales in its internal flame pouch which heats it to over degrees fahrenheit it has a flame sac in its body its body temperature tops degrees fahrenheit before battle flames burn within a saclike organ inside this when inhales these flames grow in intensity reaching a mighty degrees fahrenheit,6,6
137,Porygon,Normal,,a that consists entirely of programming code capable of moving freely in cyberspace the only people anticipate can fly into space none has managed the feat yet however it is a manmade since it doesn t breathe people are eager to try it in any environment a manmade that came about as a result of research it is programmed with only basic motions an artificial created due to extensive research it can perform only what is in its program is capable of reverting itself entirely back to program data and entering cyberspace this is copy protected so it cannot be duplicated by copying using the most advanced technologies scientists finally succeeded in making the first artificial a that consists entirely of programming code it is capable of moving freely in cyberspace it is capable of reverting itself entirely back to program data in order to enter cyberspace a is copy protected so it cannot be duplicated the world first artificially created it can travel through electronic space a man made created using advanced scientific means it can move freely in cyberspace it is a manmade since it doesn t breathe people are eager to try it in any environment a manmade that came about as a result of research it is programmed with only basic motions a man made created using advanced scientific means it can move freely in cyberspace a man made that came about as a result of research it is programmed with only basic motions a that consists entirely of programming code it is capable of moving freely in cyberspace is capable of reverting itself entirely back to program data and entering cyberspace this is copy protected so it cannot be duplicated by copying roughly years ago it was artificially created utilizing the latest technology of the time it can convert its body into digital data which enables it to enter cyberspace this was created using the cutting edge science of years ago so many parts of it have since become obsolete it was built years ago by scientists who dreamed of exploring space their dreams have yet to come true the only that people anticipate can fly into space none has managed the feat yet however state of the art technology was used to create it was the first artificial to be created via computer programming in recent years this species has been very helpful in cyberspace these will go around checking to make sure no suspicious data exists the world first artificially created it can travel through electronic space it has no discernible heartbeat and does not seem to draw breath and yet it appears to function without issue i cannot even begin to explain this utterly bizarre anomaly,12,12
138,Omanyte,Rock,Water,although long extinct in rare cases it can be genetically resurrected from fossils an ancient that was recovered from a fossil it swims by cleverly twisting its tentacles about revived from an ancient fossil this uses air stored in its shell to sink and rise in water this from ancient times is said to have navigated the sea by adeptly twisting its tentacles in prehistoric times it swam on the sea floor eating plankton its fossils are sometimes found is one of the ancient and long since extinct that have been regenerated from fossils by people if attacked by an enemy it withdraws itself inside its hard shell a prehistoric that lived in the primordial sea it swims by twisting its tentacles about although long extinct in rare cases it can be genetically regenerated from fossils one of the ancient and long since extinct that have been regenerated from fossils by humans if attacked it withdraws into its hard shell a that was resurrected from a fossil using modern science it swam in ancient seas revived from an ancient fossil this uses air stored in its shell to sink and rise in water this from ancient times is said to have navigated the sea by adeptly twisting its tentacles a that was resurrected from a fossil using modern science it swam in ancient seas a prehistoric that lived in the primordial sea it swims by twisting its tentacles about revived from an ancient fossil this uses air stored in its shell to sink and rise in water is one of the ancient and long since extinct that have been regenerated from fossils by people if attacked by an enemy it withdraws itself inside its hard shell lived in the seas of antiquity its fossils have been found bearing bite marks from so apparently preyed on it it was restored from an ancient fossil those helix fossils are excavated from areas that were once oceans long long ago an ancient that was recovered from a fossil it swam by cleverly twisting its tentacles about because some manage to escape after being restored or are released into the wild by people this species is becoming a problem this is a member of an ancient extinct species paddles through water with its tentacles looking like it is just drifting along it is a that was resurrected from a fossil using modern science it swam in ancient seas,15,15
139,Omastar,Rock,Water,a prehistoric that died out when its heavy shell made it impossible to catch prey sharp beaks ring its mouth its shell was too big for it to move freely so it became extinct apparently it cracked shell with its sharp fangs and sucked out the insides once wrapped around its prey it never lets go it eats the prey by tearing at it with sharp fangs its heavy shell allowed it to reach only nearby food this could be the reason it is extinct uses its tentacles to capture its prey it is believed to have become extinct because its shell grew too large and heavy causing its movements to become too slow and ponderous its tentacles are highly developed as if they are hands and feet as soon as it ensnares prey it bites despite having strong fangs and tentacles it went extinct when its heavy shell made it unable to catch prey an uses its tentacles to capture its prey it is believed to have become extinct because its shell grew too large making its movements slow and ponderous it is thought that this became extinct because its spiral shell grew too large apparently it cracked shell with its sharp fangs and sucked out the insides once wrapped around its prey it never lets go it eats the prey by tearing at it with sharp fangs it is thought that this became extinct because its spiral shell grew too large its tentacles are highly developed as if they are hands and feet as soon as it ensnares prey it bites once wrapped around its prey it never lets go it eats the prey by tearing at it with sharp fangs uses its tentacles to capture its prey it is believed to have become extinct because its shell grew too large and heavy causing its movements to become too slow and ponderous its heavy shell is thought to be the reason this ancient died out it is apparently a distant ancestor of it wraps its prey in its tentacles to immobilize them and then finishes them off with its sharp fangs its sharp beak rings its mouth its shell was too big for it to move freely so it became extinct weighed down by a large and heavy shell couldn t move very fast some say it went extinct because it was unable to catch food sharp fangs could crush rock but the can attack only the prey that come within reach of its tentacles it is thought that this became extinct because its spiral shell grew too large,15,15
140,Kabuto,Rock,Water,a that was resurrected from a fossil found in what was once the ocean floor eons ago a that was recovered from a fossil it uses the eyes on its back while hiding on the sea floor on rare occasions some have been found as fossils which they became while hiding on the ocean floor this lived in ancient times on rare occasions it has been discovered as a living fossil three hundred million years ago it hid on the sea floor it also has eyes on its back that glow is a that has been regenerated from a fossil however in extremely rare cases living examples have been discovered the has not changed at all for million years this was regenerated from the fossil of an ancient creature it protects itself with a hard shell a that was regenerated from a fossil found in what was once the ocean floor long ago it is a that has been regenerated from a fossil however in rare cases living examples have been discovered have not changed for million years it is thought to have inhabited beaches million years ago it is protected by a stiff shell on rare occasions some have been found as fossils which they became while hiding on the ocean floor this lived in ancient times on rare occasions it has been discovered as a living fossil it is thought to have inhabited beaches million years ago it is protected by a stiff shell it is thought to have inhabited beaches million years ago it is protected by a stiff shell this was regenerated from the fossil of an ancient creature it protects itself with a hard shell is a that has been regenerated from a fossil however in extremely rare cases living examples have been discovered the has not changed at all for million years this thrived million years ago it is said that living specimens can still be seen in a certain regiona rare sight this became extinct everywhere except in a few areas it protects itself with its hard shell a that was recovered from a fossil it used the eyes on its back while hiding on the seafloor this species is almost entirely extinct molt every three days making their shells harder and harder while some say this species has gone extinct sightings are apparently fairly common in some places it is thought to have inhabited beaches million years ago it is protected by a sturdy shell,15,15
141,Kabutops,Rock,Water,its sleek shape is perfect for swimming it slashes prey with its claws and drains the body fluids a slim and fast swimmer it slices its prey with its sharp sickles and drinks the body fluids in the water it tucks in its limbs to become more compact then it wiggles its shell to swim fast with sharp claws this ferocious ancient rips apart prey and sucks their body fluids it was able to swim quickly through the water by compactly folding up its razor sharp sickles ps swam underwater to hunt for its prey in ancient times the was apparently evolving from being a water dweller to living on land as evident from the beginnings of change in its gills and legs it swims freely through water it catches prey with its scythe like arms and drains the victim fluids its sleek shape is perfect for swimming it slashes prey with its claws and drains their fluids ps once swam underwater to hunt for prey it was apparently evolving from being a water dweller to living on land as evident from changes in its gills and legs it is thought that this came onto land because its prey adapted to life on land in the water it tucks in its limbs to become more compact then it wiggles its shell to swim fast with sharp claws this ferocious ancient rips apart prey and sucks their body fluids it is thought that this came onto land because its prey adapted to life on land in the water it tucks in its limbs to become more compact then it wiggles its shell to swim fast a slim and fast swimmer it slices its prey with its sharp sickles and drinks the body fluids ps swam underwater to hunt for its prey in ancient times the was apparently evolving from being a water dweller to living on land as evident from the beginnings of change in its gills and legs its body had begun to change so it could function on land but it didn t adapt in time and went extinct it swims at speeds of roughly knots quickly closing in on its prey and slashing into them with its scythes to finish them off a slim and fast swimmer it sliced its prey with its sharp sickles and drank the body fluids ps slices its prey apart and sucks out the fluids the discarded body parts become food for other the cause behind the extinction of this species is unknown ps were aggressive that inhabited warm seas it is thought that this came onto land because its prey adapted to life on land,15,15
